Año,código DRE,Nombre DRE,Evaluación,Grado,Competencia,Medida Promedio,ee: MP,Nivel de Logro: En inicio,Nivel de Logro: En proceso,Nivel de Logro: Satisfactorio,ee: En inicio,ee: En proceso,ee: Satisfactorio
2015,100,DRE Amazonas,ECE2015,SEGUNDO,LECTURA,578,"1,8","7,6","49,4","43,1","0,71","0,84","0,84"
2015,100,DRE Amazonas,ECE2015,SEGUNDO,MATEMÁTICA,585,"3,0","30,3","37,7","32,0","1,07","0,83","0,91"
2015,200,DRE Ancash,ECE2015,SEGUNDO,MATEMÁTICA,564,"3,6","35,9","39,4","24,6","1,19","0,82","1,15"
2015,200,DRE Ancash,ECE2015,SEGUNDO,LECTURA,578,"1,8","8,7","48,0","43,3","0,64","1,14","1,22"
2015,300,DRE Apurímac,ECE2015,SEGUNDO,MATEMÁTICA,578,"2,6","41,5","40,9","17,6","0,86","0,65","0,52"
2015,300,DRE Apurímac,ECE2015,SEGUNDO,LECTURA,563,"1,5","10,7","53,1","36,2","0,49","0,69","0,75"
2015,400,DRE Arequipa,ECE2015,SEGUNDO,MATEMÁTICA,598,"3,2","22,4","45,7","31,8","1,02","0,76","1,17"
2015,400,DRE Arequipa,ECE2015,SEGUNDO,LECTURA,625,"2,3","1,9","32,9","65,2","0,24","1,06","1,15"
2015,500,DRE Ayacucho,ECE2015,SEGUNDO,LECTURA,592,"2,8","5,2","46,6","48,3","0,44","1,35","1,46"
2015,500,DRE Ayacucho,ECE2015,SEGUNDO,MATEMÁTICA,589,"3,9","26,9","43,0","30,1","1,31","0,98","1,28"
2015,600,DRE Cajamarca,ECE2015,SEGUNDO,LECTURA,566,"2,8","8,6","54,3","37,1","0,73","1,25","1,40"
2015,600,DRE Cajamarca,ECE2015,SEGUNDO,MATEMÁTICA,571,"4,3","31,7","42,3","26,0","1,47","1,12","1,34"
2015,701,DRE Callao,ECE2015,SEGUNDO,MATEMÁTICA,605,"3,1","21,6","43,3","35,1","0,97","0,62","1,04"
2015,701,DRE Callao,ECE2015,SEGUNDO,LECTURA,623,"2,3","1,8","33,5","64,7","0,23","1,00","1,08"
2015,800,DRE Cusco,ECE2015,SEGUNDO,MATEMÁTICA,580,"3,5","29,1","43,1","27,7","1,12","0,75","1,18"
2015,800,DRE Cusco,ECE2015,SEGUNDO,LECTURA,592,"2,6","6,4","44,8","48,8","0,47","1,14","1,26"
2015,900,DRE Huancavelica,ECE2015,SEGUNDO,MATEMÁTICA,571,"2,8","30,1","47,0","22,9","1,14","0,84","0,85"
2015,900,DRE Huancavelica,ECE2015,SEGUNDO,LECTURA,566,"1,7","6,9","57,0","36,1","0,62","0,90","0,92"
2015,1000,DRE Huánuco,ECE2015,SEGUNDO,LECTURA,554,"2,9","13,4","54,7","31,9","1,05","1,23","1,30"
2015,1000,DRE Huánuco,ECE2015,SEGUNDO,MATEMÁTICA,537,"4,2","44,1","38,7","17,2","1,59","1,17","1,22"
2015,1100,DRE Ica,ECE2015,SEGUNDO,MATEMÁTICA,605,"2,9","20,9","44,5","34,6","0,84","0,67","1,08"
2015,1100,DRE Ica,ECE2015,SEGUNDO,LECTURA,609,"1,9","2,6","39,2","58,2","0,20","0,83","0,90"
2015,1200,DRE Junín,ECE2015,SEGUNDO,MATEMÁTICA,596,"4,2","24,7","43,0","32,2","1,11","0,97","1,53"
2015,1200,DRE Junín,ECE2015,SEGUNDO,LECTURA,599,"2,9","3,9","44,4","51,7","0,34","1,32","1,44"
2015,1300,DRE La Libertad,ECE2015,SEGUNDO,MATEMÁTICA,563,"4,0","35,4","41,4","23,2","1,38","0,85","1,18"
2015,1300,DRE La Libertad,ECE2015,SEGUNDO,LECTURA,577,"2,7","7,6","49,9","42,5","0,60","1,11","1,31"
2015,1400,DRE Lambayeque,ECE2015,SEGUNDO,LECTURA,586,"2,1","5,2","48,2","46,6","0,39","1,06","1,17"
2015,1400,DRE Lambayeque,ECE2015,SEGUNDO,MATEMÁTICA,563,"3,3","34,0","44,1","21,9","1,18","0,76","1,00"
2015,1501,DRE Lima Metropolitana,ECE2015,SEGUNDO,LECTURA,618,"2,5","2,5","36,3","61,2","0,21","1,10","1,19"
2015,1501,DRE Lima Metropolitana,ECE2015,SEGUNDO,MATEMÁTICA,589,"3,6","26,0","45,0","29,0","1,10","0,79","1,23"
2015,1502,DRE Lima Provincias,ECE2015,SEGUNDO,MATEMÁTICA,587,"3,1","25,3","46,9","27,8","1,15","0,78","1,00"
2015,1502,DRE Lima Provincias,ECE2015,SEGUNDO,LECTURA,602,"2,0","2,5","43,2","54,3","0,24","1,07","1,16"
2015,1600,DRE Loreto,ECE2015,SEGUNDO,MATEMÁTICA,470,"4,1","68,3","26,0","5,8","1,65","1,21","0,67"
2015,1600,DRE Loreto,ECE2015,SEGUNDO,LECTURA,508,"3,2","31,2","50,7","18,1","1,36","1,16","1,26"
2015,1700,DRE Madre de Dios,ECE2015,SEGUNDO,MATEMÁTICA,545,"0,0","40,6","41,8","17,6","0,00","0,00","0,00"
2015,1700,DRE Madre de Dios,ECE2015,SEGUNDO,LECTURA,574,"0,0","5,6","54,5","40,0","0,00","0,00","0,00"
2015,1800,DRE Moquegua,ECE2015,SEGUNDO,LECTURA,645,"0,0","1,1","25,0","73,9","0,00","0,00","0,00"
2015,1800,DRE Moquegua,ECE2015,SEGUNDO,MATEMÁTICA,638,"0,0","11,5","43,5","45,0","0,00","0,00","0,00"
2015,1900,DRE Pasco,ECE2015,SEGUNDO,MATEMÁTICA,583,"3,5","27,6","42,7","29,7","1,27","1,07","0,94"
2015,1900,DRE Pasco,ECE2015,SEGUNDO,LECTURA,586,"2,7","7,9","45,2","46,9","0,98","1,00","1,12"
2015,2000,DRE Piura,ECE2015,SEGUNDO,MATEMÁTICA,593,"3,3","25,0","43,2","31,8","1,07","0,77","1,05"
2015,2000,DRE Piura,ECE2015,SEGUNDO,LECTURA,596,"2,3","5,0","43,2","51,8","0,47","0,99","1,11"
2015,2100,DRE Puno,ECE2015,SEGUNDO,MATEMÁTICA,600,"3,8","22,0","45,3","32,8","1,18","0,97","1,34"
2015,2100,DRE Puno,ECE2015,SEGUNDO,LECTURA,597,"2,8","3,3","46,1","50,6","0,40","1,31","1,44"
2015,2200,DRE San Martín,ECE2015,SEGUNDO,LECTURA,565,"3,0","10,5","52,8","36,7","0,71","1,17","1,41"
2015,2200,DRE San Martín,ECE2015,SEGUNDO,MATEMÁTICA,549,"4,2","40,2","39,9","19,8","1,54","1,00","1,21"
2015,2300,DRE Tacna,ECE2015,SEGUNDO,LECTURA,657,"0,0","1,2","20,7","78,1","0,00","0,00","0,00"
2015,2300,DRE Tacna,ECE2015,SEGUNDO,MATEMÁTICA,657,"0,0","9,0","37,4","53,5","0,00","0,00","0,00"
2015,2400,DRE Tumbes,ECE2015,SEGUNDO,MATEMÁTICA,565,"0,0","32,3","45,9","21,9","0,00","0,00","0,00"
2015,2400,DRE Tumbes,ECE2015,SEGUNDO,LECTURA,580,"0,0","5,5","51,3","43,3","0,00","0,00","0,00"
2015,2500,DRE Ucayali,ECE2015,SEGUNDO,MATEMÁTICA,510,"2,4","53,6","36,1","10,3","0,94","0,72","0,37"
2015,2500,DRE Ucayali,ECE2015,SEGUNDO,LECTURA,546,"2,0","14,1","56,9","29,0","0,80","0,70","0,72"
