D_DPTO,EIB_INICIAL,EIB_PRIMARIA,EIB_TALUM_MUJ,EIB_TALUM_HOM,EIB_SPI_MUJ,EIB_SPI_HOM,EIB_TDOCENTE,EIB_TDOCEN_INI,EIB_TDOCEN_PRI,EIB_TDOCEN_SPI,EIB_TDOCEN_IB,EIB_MATINICIAL,EIB_MATPRIMARIAL1,EIB_MATPRIMARIAL2
Amazonas,397,377,20345,22053,18498,19995,2409,524,1078,733,2988,267,304,0
Ancash,1090,1078,48587,50887,24427,25426,8681,1271,3702,426,10570,601,804,270
Apurímac,1165,861,55956,57461,22150,23499,9006,1501,3580,699,9513,757,730,140
Arequipa,82,162,6661,6910,1226,1312,1086,140,526,43,1036,26,74,88
Ayacucho,1242,1316,77143,79967,21163,22874,12843,1844,5506,760,11966,520,822,491
Cajamarca,100,184,9551,10212,2322,2519,1407,196,719,21,252,5,16,0
Callao,0,1361,0,0,0,0,0,0,0,0,59,0,0,0
Cusco,1574,0,95385,100352,36441,38313,14112,1965,5883,429,13954,642,947,390
Huancavelica,814,817,34176,35582,16956,17241,6456,1044,2787,221,6460,589,674,135
Huanuco,544,757,28352,29284,14788,15070,4465,685,2371,106,5031,245,516,224
Ica,3,3,513,474,0,0,47,10,36,0,114,0,0,0
Junin,647,895,45624,50423,10077,10160,6616,954,3102,548,2325,237,349,553
La Libertad,1,1,53,32,0,0,6,2,4,0,14,0,1,0
Lambayeque,152,118,5856,6346,4571,4810,791,113,297,125,617,69,98,0
Lima Metropolitana,1,1,123,124,0,0,12,6,6,0,398,2,2,62
Lima Provincia,57,76,2088,2174,76,51,598,71,278,14,231,0,0,0
Loreto,620,987,30812,33778,18776,20553,3466,790,1798,756,3486,299,517,282
Madre de Dios,26,37,755,757,393,411,146,34,62,41,496,11,20,4
Moquegua,50,65,840,887,171,209,407,62,183,0,282,8,29,40
Pasco,226,385,8150,8541,1539,1662,1870,239,796,40,1184,62,219,246
Piura,0,1,11,9,11,9,1,0,1,0,14,0,1,0
Puno,2418,1659,107965,111948,27415,28684,18932,2511,7713,246,21672,703,1203,455
San Martin,101,174,7512,8028,1405,1464,917,165,536,32,435,18,51,108
Tacna,40,58,3218,3324,2,3,586,58,215,0,177,0,2,57
Tumbes,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ucayali,254,323,11659,12426,9473,10172,1611,243,680,530,1618,114,222,54
